Titles of the Movies,User ratings,Genres,Cast of the movies
Shin Kamen Rider,71.0,"Action, Adventure, Drama, Fantasy, Science Fiction","['Sosuke Ikematsu', 'Minami Hamabe', 'Tasuku Emoto', 'Mirai Moriyama', 'Nanase Nishino', 'Toru Tezuka', 'Nao Omori', 'Kanata Hongo', 'Masami Nagasawa']"
River Wild,65.0,"Mystery, Thriller, Adventure","['Adam Brody', 'Leighton Meester', 'Taran Killam', 'Olivia Swann', 'Eve Connolly', 'Nicholas Wittman', 'Courtney Chen', 'Matt Devere']"
Warhorse One,72.0,"Action, Drama, War","['Johnny Strong', 'Athena Durner', 'Raj Kala', 'James Sherrill', 'Michael Sauers']"
Oppenheimer,83.0,"Drama, History","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']"
The Super Mario Bros. Movie,78.0,"Animation, Family, Adventure, Fantasy, Comedy","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']"
Head to Head,67.0,"Comedy, Thriller, Action","['Abdulaziz Alshehri', 'Ziyad Alamri', 'Adel Radwan', 'Mohammad Alqass', 'Ida Alkusay', 'Hesham Alhosawi', 'Ahmed Kaabi', 'Saleh Alkhalaqi', 'Riad Alsalhani']"
"Miraculous: Ladybug & Cat Noir, The Movie",79.0,"Animation, Family, Action, Fantasy, Romance","['Annouck Hautbois', 'Benjamin Bollen', 'Fanny Bloc', ""Alexandre N'Guyen"", 'Antoine Tomé', 'Marie Chevalot', 'Marie Nonnenmacher', 'Martial Le Minoux', 'Flora Kaprielian']"
Justice League: Warworld,73.0,"Animation, Action, Science Fiction, Adventure","['Jensen Ackles', 'Darren Criss', 'Stana Katic', 'Ike Amadi', 'Troy Baker', 'Matt Bomer', 'Roger Cross', 'Brett Dalton', 'Trevor Devall']"
Knights of the Zodiac,67.0,"Fantasy, Action, Adventure","['Mackenyu', 'Madison Iseman', 'Diego Tinoco', 'Mark Dacascos', 'Nick Stahl', 'Famke Janssen', 'Sean Bean', 'Caitlin M Hutson', 'Katie Moy']"
Kingdom 3: The Flame of Fate,78.0,"Action, Adventure, War","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Hiroshi Tamaki', 'Koichi Sato', 'Takao Osawa', 'Anne Watanabe', 'Yuki Yamada']"
